2023-02-28 17:14:22.815810  * Response 12 from device ID 1 , data = 65535
2023-02-28 17:14:22.815810  * Response 13 from device ID 1 , data = 995
2023-02-28 17:14:22.815810  * Response 14 from device ID 1 , data = 0
2023-02-28 17:14:22.815810  * Response 15 from device ID 1 , data = 4121
2023-02-28 17:14:22.815810  * Response 16 from device ID 1 , data = 0
2023-02-28 17:14:22.815810  * Response 17 from device ID 1 , data = 2378
2023-02-28 17:14:22.815810  * Response 18 from device ID 1 , data = 0
2023-02-28 17:14:22.815810  * Response 19 from device ID 1 , data = 65119
2023-02-28 17:14:22.815810  * Response 20 from device ID 1 , data = 65535
2023-02-28 17:14:22.815810  * Response 21 from device ID 1 , data = 64738
2023-02-28 17:14:22.815810  * Response 22 from device ID 1 , data = 65535
2023-02-28 17:14:22.815810  * Response 23 from device ID 1 , data = 801
2023-02-28 17:14:22.815810  * Response 24 from device ID 1 , data = 0
2023-02-28 17:14:22.815810  * Response 25 from device ID 1 , data = 65471
2023-02-28 17:14:22.815810  * Response 26 from device ID 1 , data = 65535
2023-02-28 17:14:22.815810  * Response 27 from device ID 1 , data = 64539
2023-02-28 17:14:22.815810  * Response 28 from device ID 1 , data = 65535
2023-02-28 17:14:22.815810  * Response 29 from device ID 1 , data = 4114
2023-02-28 17:14:22.815810  * Response 30 from device ID 1 , data = 0
2023-02-28 17:14:22.815810  * Response 31 from device ID 1 , data = 2381
2023-02-28 17:14:22.815810  * Response 32 from device ID 1 , data = 0
2023-02-28 17:14:22.815810  * Response 33 from device ID 1 , data = 64799
2023-02-28 17:14:22.815810  * Response 34 from device ID 1 , data = 65535
2023-02-28 17:14:22.815810  * Response 35 from device ID 1 , data = 64290
2023-02-28 17:14:22.815810  * Response 36 from device ID 1 , data = 65535
2023-02-28 17:14:22.815810  * Response 37 from device ID 1 , data = 1730
2023-02-28 17:14:22.815810  * Response 38 from device ID 1 , data = 0
2023-02-28 17:14:22.815810  * Response 39 from device ID 1 , data = 64336
2023-02-28 17:14:22.815810  * Response 40 from device ID 1 , data = 65535
2023-02-28 17:14:22.815810  * Response 41 from device ID 1 , data = 64816
2023-02-28 17:14:22.815810  * Response 42 from device ID 1 , data = 65535
2023-02-28 17:14:23.618268 Read holding register for device ID 1 , Start address = 258 Quantity = 16
2023-02-28 17:14:23.670259  * Response 1 from device ID 1 , data = 2376
2023-02-28 17:14:23.670259  * Response 2 from device ID 1 , data = 0
2023-02-28 17:14:23.670259  * Response 3 from device ID 1 , data = 4115
2023-02-28 17:14:23.670259  * Response 4 from device ID 1 , data = 0
2023-02-28 17:14:23.670259  * Response 5 from device ID 1 , data = 20
2023-02-28 17:14:23.670259  * Response 6 from device ID 1 , data = 0
2023-02-28 17:14:23.670259  * Response 7 from device ID 1 , data = 4606
2023-02-28 17:14:23.670259  * Response 8 from device ID 1 , data = 0
2023-02-28 17:14:23.670259  * Response 9 from device ID 1 , data = 64058
2023-02-28 17:14:23.670259  * Response 10 from device ID 1 , data = 65535
2023-02-28 17:14:23.670259  * Response 11 from device ID 1 , data = 14
2023-02-28 17:14:23.670259  * Response 12 from device ID 1 , data = 0
2023-02-28 17:14:23.670259  * Response 13 from device ID 1 , data = 0
2023-02-28 17:14:23.670259  * Response 14 from device ID 1 , data = 0
2023-02-28 17:14:23.670259  * Response 15 from device ID 1 , data = 499
2023-02-28 17:14:23.670259  * Response 16 from device ID 1 , data = 0
2023-02-28 17:14:23.727886 Read holding register for device ID 1 , Start address = 286 Quantity = 42
2023-02-28 17:14:23.813951  * Response 1 from device ID 1 , data = 4111
2023-02-28 17:14:23.813951  * Response 2 from device ID 1 , data = 0
2023-02-28 17:14:23.813951  * Response 3 from device ID 1 , data = 2370
2023-02-28 17:14:23.813951  * Response 4 from device ID 1 , data = 0
2023-02-28 17:14:23.813951  * Response 5 from device ID 1 , data = 1156
2023-02-28 17:14:23.813951  * Response 6 from device ID 1 , data = 0
2023-02-28 17:14:23.813951  * Response 7 from device ID 1 , data = 2068
2023-02-28 17:14:23.813951  * Response 8 from device ID 1 , data = 0
2023-02-28 17:14:23.813951  * Response 9 from device ID 1 , data = 2079
2023-02-28 17:14:23.813951  * Response 10 from device ID 1 , data = 0
2023-02-28 17:14:23.813951  * Response 11 from device ID 1 , data = 65326
2023-02-28 17:14:23.813951  * Response 12 from device ID 1 , data = 65535
2023-02-28 17:14:23.813951  * Response 13 from device ID 1 , data = 995
2023-02-28 17:14:23.813951  * Response 14 from device ID 1 , data = 0
2023-02-28 17:14:23.813951  * Response 15 from device ID 1 , data = 4122
2023-02-28 17:14:23.813951  * Response 16 from device ID 1 , data = 0
2023-02-28 17:14:23.813951  * Response 17 from device ID 1 , data = 2378
2023-02-28 17:14:23.813951  * Response 18 from device ID 1 , data = 0
2023-02-28 17:14:23.813951  * Response 19 from device ID 1 , data = 65118
2023-02-28 17:14:23.813951  * Response 20 from device ID 1 , data = 65535
2023-02-28 17:14:23.813951  * Response 21 from device ID 1 , data = 64734
2023-02-28 17:14:23.813951  * Response 22 from device ID 1 , data = 65535
2023-02-28 17:14:23.813951  * Response 23 from device ID 1 , data = 804
2023-02-28 17:14:23.813951  * Response 24 from device ID 1 , data = 0
2023-02-28 17:14:23.813951  * Response 25 from device ID 1 , data = 65471
2023-02-28 17:14:23.813951  * Response 26 from device ID 1 , data = 65535
2023-02-28 17:14:23.813951  * Response 27 from device ID 1 , data = 64539
2023-02-28 17:14:23.813951  * Response 28 from device ID 1 , data = 65535
2023-02-28 17:14:23.813951  * Response 29 from device ID 1 , data = 4115
2023-02-28 17:14:23.813951  * Response 30 from device ID 1 , data = 0
2023-02-28 17:14:23.813951  * Response 31 from device ID 1 , data = 2382
2023-02-28 17:14:23.813951  * Response 32 from device ID 1 , data = 0
2023-02-28 17:14:23.813951  * Response 33 from device ID 1 , data = 64798
2023-02-28 17:14:23.813951  * Response 34 from device ID 1 , data = 65535
2023-02-28 17:14:23.813951  * Response 35 from device ID 1 , data = 64280
2023-02-28 17:14:23.813951  * Response 36 from device ID 1 , data = 65535
2023-02-28 17:14:23.813951  * Response 37 from device ID 1 , data = 1731
2023-02-28 17:14:23.813951  * Response 38 from device ID 1 , data = 0
2023-02-28 17:14:23.813951  * Response 39 from device ID 1 , data = 64345
2023-02-28 17:14:23.813951  * Response 40 from device ID 1 , data = 65535
2023-02-28 17:14:23.813951  * Response 41 from device ID 1 , data = 64810
